method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,all_validation_fitted_diagnostic,l2-a03,D,4b104b18066caa10dde6f68f96986d0acdb24f9b0d5ff42c59a260dcccc8bcb3,0.5301724137931034,0.6147096774193549,0.6413301662707839,0.4667931688804554,0.6134663341645885,0.5689655172413793,0.5228912155729044,0.885286783042394,1,0.15901923683380637,2017,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,all_validation_fitted_diagnostic,l2-a03,N,72e11a851b753362c6cbc27f6604675dda170fabdda2f4e856e6f9ab9dc9eed5,0.36395147313691506,0.5959137343927355,0.6413301662707839,0.5965909090909091,0.26184538653366585,0.38128249566724437,0.575583856843959,0.8653366583541147,1,0.13134657836644592,1666,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a03,D,1c858d0b07dde97e29099b3798a02a1e22641e749f1fd973c46648fcb91cdf7c,0.5612968591691996,0.5917421064252595,0.6002258610954263,0.4726962457337884,0.6907730673316709,0.5977710233029382,0.49081530762810033,0.885286783042394,1,0.21058025859350363,2671,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a03,N,d42453902731400a04006e0e3eeadda772c3788bda328cdd2d219394b59a1f51,0.5007153075822603,0.583824569676963,0.6002258610954263,0.587248322147651,0.43640897755610975,0.5264663805436338,0.5654454989992663,0.8653366583541147,1,0.18787448754336172,2383,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,review_cross_fitted_primary,l2-a04,D,39b0dcc6c5c73888193c2b9e9791e5ea69974ceb91c377b613705864d7fbdea1,0.27848101265822783,0.6030075187969924,0.6095627716696497,0.19298245614035087,0.5,0.44155844155844154,0.6106773784093373,0.6363636363636364,2,0.16406496373383792,2081,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,review_cross_fitted_primary,l2-a04,N,b7f83889ae9d38e943cdf975c8b6da6f03428741701b4a95f58c7cabf06765ee,0.3870967741935484,0.6078132927447996,0.6095627716696497,0.6666666666666666,0.2727272727272727,0.5333333333333333,0.5719052100052785,0.6666666666666666,2,0.16035950804162724,2034,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,all_validation_fitted_diagnostic,l2-a04,D,fe2911a9b3c9a44a279c3d61cb9ef63c6231ba3da9b610149e1b3c6716bb409a,0.2619047619047619,0.6050211285110614,0.6123381568926123,0.1774193548387097,0.5,0.4146341463414634,0.6070091817935768,0.6363636363636364,2,0.16658782718385368,2113,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,all_validation_fitted_diagnostic,l2-a04,N,36afdcb225deb0a40200802d1d77f5b2bec26e5d51b42f29d2f9c50a2319a8d3,0.3870967741935484,0.6105793450881613,0.6123381568926123,0.6666666666666666,0.2727272727272727,0.5333333333333333,0.5626599859401574,0.6666666666666666,2,0.16248817407757804,2061,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a04,D,990a453a9090ff291e46691a8482e9e1781b0f6165156c6fe0d943b9648559ac,0.41379310344827586,0.5633663366336633,0.5655449522852838,0.3333333333333333,0.5454545454545454,0.6666666666666666,0.5426786940771874,0.6363636363636364,2,0.16729738252917062,2122,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a04,N,b0a54b20b107a635efdac7c5f01ac4ed20ed5f584f6132d38e42dcb31de420b1,0.4,0.5641025641025641,0.5655449522852838,0.5384615384615384,0.3181818181818182,0.5882352941176471,0.6794849965830073,0.6666666666666666,2,0.16548407442447177,2099,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,review_cross_fitted_primary,l2-a05,D,5ea8379276a6e058ebe6bbea3e08bfa6403ceeedf5507894a74b91a6b7a267de,0.6565656565656566,0.6080206985769728,0.6053995091355331,0.8125,0.5508474576271186,0.6565656565656566,0.7268714040673092,0.9152542372881356,1,0.15823084200567644,2007,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,review_cross_fitted_primary,l2-a05,N,1474367e15433dff81fd8c8826689755c17f048750901221502e5e9c269aa3c6,0.5060240963855421,0.6010957474563006,0.6053995091355331,0.875,0.3559322033898305,0.5060240963855421,0.7779455289277797,0.923728813559322,1,0.15570797855566068,1975,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,all_validation_fitted_diagnostic,l2-a05,D,dcb6a284a06f732d943ae591584e395b37b620724fbf94f0c3c21e48b680452e,0.6528497409326425,0.612374405076679,0.6101978266926721,0.84,0.5338983050847458,0.6528497409326425,0.7287017488582275,0.9152542372881356,1,0.15168716493219805,1924,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,all_validation_fitted_diagnostic,l2-a05,N,f8a777a47f1655f577547386367229fca2e6da894549c06d3d9ce22d43e12456,0.4878048780487805,0.6048494537703171,0.6101978266926721,0.8695652173913043,0.3389830508474576,0.4878048780487805,0.7772965412057039,0.923728813559322,1,0.14940081993062126,1895,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a05,D,e5f4a84a3a458a263607bd51fa65da116d3bde6aa0d73824ac60084692148b00,0.4444444444444444,0.5718592964824121,0.5772655840754322,0.8181818181818182,0.3050847457627119,0.4444444444444444,0.5819747386592108,0.9152542372881356,1,0.16729738252917062,2122,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_reference_reproduction,l2-a05,N,7fa47d4d5ea2b56e4eb6f368a5292d92b454ce6508fbaa1ad4bafc526efdc601,0.445859872611465,0.5720754716981132,0.5772655840754322,0.8974358974358975,0.2966101694915254,0.445859872611465,0.6365452244286667,0.923728813559322,1,0.16690318511510566,2117,0
smooth_fewshot_qlora_stage1_fusion__qlora_stage2,review_cross_fitted_primary,l2-a06,D,f1c53c8775bbc7b8835ba4a20f5370c9ed59060ca651e1066cb7b91325a10e84,0.48339973439575035,0.5636456211812627,0.5826771653543307,0.6594202898550725,0.38155136268343814,0.5188172043010753,0.7127025323055797,0.8465608465608465,1,0.16319772942289498,2070,0
