method,policy,fold_id,condition,evidence_role,heldout_pair_f1,overall_pair_f1,seen_pair_f1,presence_f1,presence_ap,oracle_stage2_f1,aspect_threshold,runner_up_threshold,selected_review_aspects,two_sentiment_instances
tfidf,review_filtered,l2-a01,D,paired_local_policy_replay,0.23728813559322035,0.30985915492957744,0.31427099433281813,0.5087719298245614,0.4218787842579255,0.43529411764705883,0.586968601391,0.35244339578,2075,185
tfidf,review_filtered,l2-a01,N,paired_local_policy_replay,0.1761006289308176,0.3088344469190794,0.31427099433281813,0.36129032258064514,0.26365157272263884,0.44339622641509435,0.586968601391,0.35244339578,2002,181
tfidf,review_filtered,l2-a02,D,paired_local_policy_replay,0.18181818181818182,0.3359160209947513,0.3434714210802307,0.21390374331550802,0.1829992238157141,0.7861271676300579,0.571938326188,0.900396467719,2136,7
tfidf,review_filtered,l2-a02,N,paired_local_policy_replay,0.08928571428571429,0.33622007131940906,0.3434714210802307,0.125,0.1767714305270695,0.5433526011560693,0.571938326188,0.900396467719,2061,7
tfidf,review_filtered,l2-a03,D,paired_local_policy_replay,0.1736111111111111,0.32716219950262504,0.35622740716398293,0.2743055555555556,0.4161873942306514,0.6184538653366584,0.633461757211,0.96,1758,3
tfidf,review_filtered,l2-a03,N,paired_local_policy_replay,0.06407322654462243,0.3195402298850575,0.35622740716398293,0.10526315789473684,0.4034998298531877,0.6184538653366584,0.633461757211,0.96,1619,3
tfidf,review_filtered,l2-a04,D,paired_local_policy_replay,0.18181818181818182,0.3371949716539315,0.3410813542193027,0.3434343434343434,0.6667700223670308,0.6363636363636364,0.564465016701,0.91,2193,6
tfidf,review_filtered,l2-a04,N,paired_local_policy_replay,0.28125,0.34012928891098954,0.3410813542193027,0.53125,0.6938685660326183,0.6363636363636364,0.564465016701,0.91,2158,6
tfidf,review_filtered,l2-a05,D,paired_local_policy_replay,0.3861003861003861,0.33883058470764615,0.3355597114613946,0.4549019607843137,0.4062459272729378,0.7899159663865546,0.564875427074,0.670279010584,2101,43
tfidf,review_filtered,l2-a05,N,paired_local_policy_replay,0.04580152671755725,0.32576148683531236,0.3355597114613946,0.061068702290076333,0.17019577679668227,0.7899159663865546,0.564875427074,0.670279010584,1977,39
tfidf,review_filtered,l2-a06,D,paired_local_policy_replay,0.4867469879518072,0.33784487246225925,0.2968127490039841,0.7536585365853659,0.840430459657579,0.6181434599156118,0.64652170784,0.871120635737,1971,13
tfidf,review_filtered,l2-a06,N,paired_local_policy_replay,0.47858942065491183,0.3347346295323174,0.2968127490039841,0.7448979591836735,0.8512262348102027,0.6413502109704642,0.64652170784,0.871120635737,1935,13
tfidf,review_filtered,l2-a07,D,paired_local_policy_replay,0.48956884561891517,0.34338863750628457,0.3111383860079779,0.617816091954023,0.6327413447214341,0.7547169811320755,0.612628446647,0.383807362968,1869,251
tfidf,review_filtered,l2-a07,N,paired_local_policy_replay,0.4161073825503356,0.32736705577172504,0.3111383860079779,0.5043177892918825,0.5952411627619782,0.7496382054992764,0.612628446647,0.383807362968,1752,245
tfidf,review_filtered,l2-a08,D,paired_local_policy_replay,0.32989690721649484,0.33275734386571215,0.3329012185636505,0.44559585492227977,0.4791105017995437,0.6666666666666666,0.587115952326,0.910090307194,2184,9
tfidf,review_filtered,l2-a08,N,paired_local_policy_replay,0.1232876712328767,0.3252560579565326,0.3329012185636505,0.1793103448275862,0.2903851956792412,0.6666666666666666,0.587115952326,0.910090307194,2136,9
tfidf,review_filtered,l2-a09,D,paired_local_policy_replay,0.07741935483870968,0.3374505928853755,0.3478037503210891,0.174496644295302,0.6593457411106931,0.46153846153846156,0.585711313066,0.674242815627,2139,51
tfidf,review_filtered,l2-a09,N,paired_local_policy_replay,0.2127659574468085,0.3461928934010152,0.3478037503210891,0.46808510638297873,0.7623197835421942,0.46153846153846156,0.585711313066,0.674242815627,2037,45
tfidf,review_filtered,l2-a10,D,paired_local_policy_replay,0.14173228346456693,0.3403193612774451,0.346817830456068,0.2677165354330709,0.4164998606640947,0.5555555555555556,0.570535175146,0.905285008161,2144,6
tfidf,review_filtered,l2-a10,N,paired_local_policy_replay,0.1111111111111111,0.34252466481153554,0.346817830456068,0.25,0.14809759584790735,0.5555555555555556,0.570535175146,0.905285008161,2089,6
tfidf,review_filtered,l2-a11,D,paired_local_policy_replay,0.328125,0.3371813371813372,0.337468982630273,0.453125,0.4774583099726458,0.6470588235294118,0.546155526882,0.904551366613,2293,7
tfidf,review_filtered,l2-a11,N,paired_local_policy_replay,0.21686746987951808,0.3350352540724532,0.337468982630273,0.26506024096385544,0.25638733856070856,0.6470588235294118,0.546155526882,0.904551366613,2248,7
tfidf,review_filtered,l2-a12,D,paired_local_policy_replay,0.3128834355828221,0.33764914953033764,0.3398837531137559,0.4246153846153846,0.41634512578665733,0.671875,0.58811454132,0.892483652586,2073,8
tfidf,review_filtered,l2-a12,N,paired_local_policy_replay,0.31390134529147984,0.3383733055265902,0.3398837531137559,0.45739910313901344,0.36649458233733456,0.671875,0.58811454132,0.892483652586,1971,7
tfidf,label_masked_all_reviews,l2-a01,D,paired_local_policy_replay,0.23275862068965517,0.31082423038728896,0.315595363540569,0.5,0.40911137134662745,0.43902439024390244,0.594483817697,0.359593842563,1994,176
tfidf,label_masked_all_reviews,l2-a01,N,paired_local_policy_replay,0.17721518987341772,0.310065756196257,0.315595363540569,0.36363636363636365,0.2638942574798817,0.45121951219512196,0.594483817697,0.359593842563,1924,172
tfidf,label_masked_all_reviews,l2-a02,D,paired_local_policy_replay,0.15469613259668508,0.3353566009104704,0.34402332361516036,0.1878453038674033,0.1875475130571178,0.7861271676300579,0.575327058705,0.91,2090,6
