method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a03,D,00c0896118893ef35a7da3567b6154fdb193eeb9a7ae8ed9bc4294b858e37f82,0.5066026410564226,0.5147808358817533,0.5169847945648658,0.48842592592592593,0.5261845386533666,0.5234093637454982,0.5047820451543652,0.9102244389027432,1,0.162882371491643,2066,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a03,N,d42453902731400a04006e0e3eeadda772c3788bda328cdd2d219394b59a1f51,0.5007153075822603,0.583824569676963,0.6002258610954263,0.587248322147651,0.43640897755610975,0.5264663805436338,0.5654454989992663,0.8653366583541147,1,0.18787448754336172,2383,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a03,N,ff30fdb3ee6d5cc07eb3c9c8b6d1177824574547d9efe3dfdcce56f9e4e8e502,0.3007518796992481,0.4852332321280707,0.5169847945648658,0.6106870229007634,0.19950124688279303,0.3082706766917293,0.5317417202242457,0.9077306733167082,1,0.1391516871649322,1765,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a03,D,f8fc70b489e01824cde62387ce7f043a03ccfec3c974f247faa890b1fc667b8b,0.4946236559139785,0.5894193548387097,0.6155365371955234,0.47477064220183485,0.516209476309227,0.5209080047789725,0.5303377217116013,0.885286783042394,1,0.15901923683380637,2017,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a03,N,53c6c1f712ea5fb400f71395be07ac040928f4ad3664c2776cdee71235f37ce4,0.3132075471698113,0.5713487852555152,0.6161914126515896,0.6434108527131783,0.20698254364089774,0.3283018867924528,0.5512068307047038,0.8653366583541147,1,0.1358404288867865,1723,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a03,D,b7dfa138875b29e0e696c29a3abd56c27e26e340376fa6ef615919bccc1a2f28,0.4975369458128079,0.5941269008914526,0.620253164556962,0.49148418491484186,0.5037406483790524,0.5172413793103449,0.5348916431498856,0.885286783042394,1,0.15421002838221382,1956,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a03,N,98876c43ea3191d8ddad699de189d317bd0838470868c5acb5522cee3b67ab46,0.29514563106796116,0.573775134522798,0.6213527851458885,0.6666666666666666,0.18952618453865336,0.3029126213592233,0.5549063305665911,0.8653366583541147,1,0.13189845474613687,1673,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a04,D,990a453a9090ff291e46691a8482e9e1781b0f6165156c6fe0d943b9648559ac,0.41379310344827586,0.5633663366336633,0.5655449522852838,0.3333333333333333,0.5454545454545454,0.6666666666666666,0.5426786940771874,0.6363636363636364,2,0.16729738252917062,2122,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a04,D,e71fd867bc73c702a4808e45cf53cfa42c3229c17304bd6cb7f71866044e48a8,0.1476510067114094,0.5460348637368033,0.5611620795107034,0.08661417322834646,0.5,0.1891891891891892,0.2602391526594449,0.6363636363636364,2,0.1725796278776411,2189,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a04,N,b0a54b20b107a635efdac7c5f01ac4ed20ed5f584f6132d38e42dcb31de420b1,0.4,0.5641025641025641,0.5655449522852838,0.5384615384615384,0.3181818181818182,0.5882352941176471,0.6794849965830073,0.6666666666666666,2,0.16548407442447177,2099,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a04,N,d626b617443a9c4726036c5a9acd7cdabe1d6e8477ebcb4d47b2dfc30b89bcae,0.058823529411764705,0.5526052104208417,0.5611620795107034,0.043478260869565216,0.09090909090909091,0.08823529411764706,0.06365895183589794,0.7272727272727273,2,0.1662724692526017,2109,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a04,D,fa5f005d142b1f79c5a0727bf464db9135ff5950af1b7d8d71d90b7c2255222a,0.13333333333333333,0.5830441249380268,0.5986150294947422,0.07964601769911504,0.4090909090909091,0.22388059701492538,0.38488377427222537,0.6363636363636364,2,0.16792809839167455,2130,0
