bootstrap_method_id,method_id,evidence_role,condition,fold_count,validation_review_clusters,aspect_balanced_heldout_pair_micro_f1,aspect_balanced_review_bootstrap_95_ci_low,aspect_balanced_review_bootstrap_95_ci_high,pooled_heldout_pair_micro_f1_sensitivity,pooled_review_bootstrap_95_ci_low,pooled_review_bootstrap_95_ci_high,bootstrap_draws,bootstrap_seed
frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,D,12,1057,0.5259309432266017,0.4930516870203966,0.5537655072733961,0.578500363989323,0.5603361980114201,0.5960235188592434,20000,13
frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,N,12,1057,0.5142348188105789,0.47768256183358365,0.5445671915032768,0.5627945661214305,0.542652519501156,0.5825029056061752,20000,13
qlora_stage1__frozen_qwen_few_shot_stage2__fixed_reverse_control,qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,D,12,1057,0.4568881223689463,0.43087464576119516,0.48150140585443546,0.5006438320885913,0.4817398822511094,0.5193598347960764,20000,13
qlora_stage1__frozen_qwen_few_shot_stage2__fixed_reverse_control,qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,N,12,1057,0.4351840353753373,0.4021881413010827,0.4635882604357956,0.46138743455497383,0.43965496091502826,0.48243126030011274,20000,13
qwen_candidate_pair_qlora_relative_calibrator_v1__all_validation_fitted_diagnostic,qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,D,12,1057,0.48357737532648604,0.454942448027449,0.5086478865267865,0.5181430096051227,0.49889380530973454,0.537393308574407,20000,13
qwen_candidate_pair_qlora_relative_calibrator_v1__all_validation_fitted_diagnostic,qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,N,12,1057,0.4491402589946654,0.41477156488069505,0.4779489524369183,0.4585858585858586,0.43661923563312705,0.4798685835126263,20000,13
qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,D,12,1057,0.4823843718195771,0.4541186741117626,0.50761319655215,0.5166754896770778,0.49772026123319435,0.5355425539729622,20000,13
qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,N,12,1057,0.4517542335906177,0.4170547774379901,0.4808119122448794,0.46261682242990654,0.44083840432724813,0.48367672476141105,20000,13
