condition,left_bootstrap_method_id,right_bootstrap_method_id,left_minus_right_aspect_balanced_heldout_pair_micro_f1,shared_review_bootstrap_95_ci_low,shared_review_bootstrap_95_ci_high,bootstrap_draws,bootstrap_seed
D,qwen_candidate_pair_qlora_relative_calibrator_v1__all_validation_fitted_diagnostic,qlora_stage1__frozen_qwen_few_shot_stage2__fixed_reverse_control,0.02668925295753971,0.011463087661841368,0.041749543922927464,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__all_validation_fitted_diagnostic,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,0.0011930035069089295,-0.0012161076952393129,0.003935062224630369,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,strict_train_only_tfidf,0.205133637560044,0.17410281922153092,0.23478765821597034,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,e5_base_v2,0.26020085330321396,0.2334090940138219,0.28563808282259207,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,description_conditioned_weight_transfer_kernel_ridge,0.33707043660375474,0.3086664941626553,0.36251872750284597,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,distilbert_review_candidate_cross_encoder,0.37695737006976393,0.3445133559615938,0.40798351634357016,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,frozen_qwen_candidate_pair,0.031086006401303767,0.01733341385319538,0.04473768656435416,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,frozen_qwen_few_shot,-0.02249825207058248,-0.04971756619343222,0.0047672119196005315,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,qwen_candidate_pair_qlora,0.002481141726492553,-0.004619168821290655,0.009603181454783498,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,-0.043546571407024615,-0.06785353475396276,-0.01858048080628713,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,qlora_stage1__frozen_qwen_few_shot_stage2__fixed_reverse_control,0.02549624945063078,0.010472395475486618,0.04058120996990407,20000,13
D,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,qwen_candidate_pair_qlora_relative_calibrator_v1__all_validation_fitted_diagnostic,-0.0011930035069089295,-0.003935062224630369,0.0012161076952393126,20000,13
