method_id,method,selected_rich_interface,fold_count,D_heldout_pair_micro_f1_mean,R_heldout_pair_micro_f1_mean,R_minus_D_heldout_pair_micro_f1_mean,R_higher_folds,equal_folds,R_lower_folds,R_minus_D_presence_average_precision_mean,R_minus_D_presence_f1_mean,R_minus_D_presence_precision_mean,R_minus_D_presence_recall_mean,R_minus_D_false_positive_rows_per_100_mean,R_minus_D_overall_pair_micro_f1_mean,D_exactly_matches_prior_control,status
e5_base_v2,Frozen E5,R2_positive_concat,12,0.22218351851636312,0.21195681800047192,-0.010226700515891203,4,0,8,-0.011447999293709337,-0.014363198451744523,-0.01681376749040232,0.00936393894176791,1.9394512771996222,-0.002550841400600657,True,selected secondary confirmation; not primary
strict_train_only_tfidf,TF-IDF,R2_positive_concat,12,0.2772507342595331,0.24789858024457137,-0.029352154014961756,2,0,10,-0.009104616990650146,-0.04050943271229588,-0.07227219708806361,0.04091120664494464,4.619993692841375,-0.0026691055367377564,True,selected secondary confirmation; not primary
