method_id,primary_estimand,N,D,D_minus_N,paired_review_bootstrap_95_ci_low,paired_review_bootstrap_95_ci_high,pooled_N_sensitivity,pooled_D_sensitivity,pooled_D_minus_N_sensitivity,pooled_paired_review_bootstrap_95_ci_low,pooled_paired_review_bootstrap_95_ci_high,improved_folds,tied_folds,worsened_folds,enumerated_fold_sign_sensitivity_p,holm_adjusted_across_all_7_methods
strict_train_only_tfidf,aspect-balanced heldout pair micro-F1,0.21076178788714608,0.2772507342595331,0.06648894637238703,0.045468990771222816,0.08788422078291479,0.29399441340782123,0.33941605839416056,0.04542164498633933,0.02751173023390221,0.06378376652965297,9,0,3,0.09375,0.65625
e5_base_v2,aspect-balanced heldout pair micro-F1,0.24147326429624685,0.22218351851636312,-0.019289745779883738,-0.03281702025968045,-0.006043555869234715,0.32098765432098764,0.30384437239462714,-0.0171432819263605,-0.031005295943677093,-0.0031227699555370523,6,0,6,0.3203125,1.0
description_conditioned_weight_transfer_kernel_ridge,aspect-balanced heldout pair micro-F1,0.1443289953765545,0.14531393521582237,0.0009849398392678677,-0.003330802402059856,0.005195494501579843,0.1578380319626504,0.15864978902953586,0.0008117570668854657,-0.004462015749293815,0.005937942113680142,10,0,2,0.845703125,1.0
distilbert_review_candidate_cross_encoder,aspect-balanced heldout pair micro-F1,0.10572129662734925,0.10542700174981318,-0.0002942948775360721,-0.014937503038904239,0.014594398845656338,0.11074270557029178,0.10023492560689115,-0.010507779963400632,-0.021694263672894266,0.000550043801389672,6,0,6,0.986328125,1.0
frozen_qwen_candidate_pair,aspect-balanced heldout pair micro-F1,0.43585980561420007,0.45129836541827334,0.01543855980407327,-0.009491536401421688,0.04148890312860362,0.4804953560371517,0.499431947284708,0.01893659124755631,0.0016387642803570774,0.03632405401386665,6,0,6,0.70947265625,1.0
frozen_qwen_few_shot,aspect-balanced heldout pair micro-F1,0.5018514986496149,0.5048826238901596,0.0030311252405447187,-0.023083284523902514,0.030795514340170586,0.5591576614020505,0.5645747516355706,0.0054170902335201054,-0.009417433374065346,0.020416254633799858,7,0,5,0.91943359375,1.0
qwen_candidate_pair_qlora,aspect-balanced heldout pair micro-F1,0.4419644283937621,0.47990323009308455,0.037938801699322455,0.015147293973801195,0.06325842689109974,0.466928618205632,0.5191908713692946,0.052262253163662675,0.035722954465485034,0.06936811418696699,8,0,4,0.38427734375,1.0
