protocol,method_id,metric,fold_count,N_mean,D_mean,D_minus_N_mean,D_minus_N_sd,bootstrap_95_ci_low,bootstrap_95_ci_high,improved_folds,tied_folds,worsened_folds,exact_sign_flip_p,holm_p_across_methods
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,heldout_pair_micro_f1,12,0.10572129662734925,0.10542700174981318,-0.0002942948775360628,0.046522480270597556,-0.02477035599248472,0.02587841356908592,6,0,6,0.986328125,1.0
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,heldout_aspect_micro_f1,12,0.12169712962292105,0.12692320956453373,0.005226079941612668,0.05370969442223794,-0.02277864974953751,0.03534265930385778,7,0,5,0.75732421875,1.0
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,heldout_presence_ap,12,0.20986552327327815,0.2380677009626545,0.0282021776893763,0.02889770951658231,0.013947701992655126,0.04473742677506025,11,0,1,0.00146484375,0.00439453125
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,heldout_presence_f1,12,0.12169712962292105,0.12692320956453373,0.005226079941612668,0.05370969442223794,-0.02277864974953751,0.03534265930385778,7,0,5,0.75732421875,1.0
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,heldout_sentiment_accuracy,12,0.8847940279326149,0.882461400606562,-0.002332627326053003,0.119788069696181,-0.0657865918803419,0.06441473023504268,6,2,4,0.953125,1.0
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,oracle_pair_micro_f1,12,0.8760627221711338,0.8690231065706849,-0.00703961560044893,0.014054121395633522,-0.014790211610753496,0.00036978990973017463,2,3,7,0.11328125,0.2265625
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,oracle_top_one_sentiment_accuracy,12,0.8789245476738204,0.8692764235756679,-0.009648124098152522,0.0161436855027695,-0.01951524977570857,-0.0026513034444594352,0,4,8,0.0078125,0.017578125
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,overall_pair_micro_f1,12,0.4969184509672047,0.4999478588097102,0.0030294078425055723,0.006606851761274746,-0.00037767708401914704,0.006727329967218775,7,0,5,0.14990234375,0.44970703125
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,seen_pair_micro_f1,12,0.5227771752501785,0.5227771752501785,0.0,0.0,0.0,0.0,0,12,0,1.0,1.0
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,heldout_pair_micro_f1,12,0.5018514986496149,0.5048826238901596,0.0030311252405446584,0.10762574046313661,-0.06009814538989818,0.055293559452307225,7,0,5,0.91943359375,1.0
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,heldout_aspect_micro_f1,12,0.5617547266165214,0.5853555209195364,0.023600794303014913,0.13280234182867673,-0.05125621568061711,0.09371110235013755,8,0,4,0.5244140625,1.0
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,heldout_presence_ap,12,0.5816516763748344,0.5058700113953779,-0.0757816649794565,0.10765857277227607,-0.13657763519570668,-0.020571645407228348,3,0,9,0.0224609375,0.044921875
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,heldout_presence_f1,12,0.5617547266165214,0.5853555209195364,0.023600794303014913,0.13280234182867673,-0.05125621568061711,0.09371110235013755,8,0,4,0.5244140625,1.0
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,heldout_sentiment_accuracy,12,0.8927396051395838,0.867319400715481,-0.02542020442410282,0.047288055351686016,-0.05313605693610355,-0.00218644257407189,4,1,7,0.0859375,0.2578125
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,oracle_pair_micro_f1,12,0.8298639044931396,0.7656990685616244,-0.06416483593151516,0.0742776207408055,-0.10807685364448015,-0.028233435514454404,2,1,9,0.005859375,0.017578125
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,oracle_top_one_sentiment_accuracy,12,0.8324504157420155,0.7683429531443623,-0.06410746259765294,0.07382711224474106,-0.10783995427538842,-0.02837872333981214,2,1,9,0.005859375,0.017578125
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,overall_pair_micro_f1,12,0.5455584669547168,0.5462452976198877,0.0006868306651708345,0.00558410844929661,-0.0020885655579476704,0.003927901195303689,5,0,7,0.71337890625,0.71337890625
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,seen_pair_micro_f1,12,0.5432483512143501,0.5432483512143501,0.0,0.0,0.0,0.0,0,12,0,1.0,1.0
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,heldout_pair_micro_f1,12,0.4419644283937621,0.47990323009308455,0.037938801699322504,0.14449037718344343,-0.03900519929691843,0.11841660605280156,8,0,4,0.38427734375,1.0
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,heldout_aspect_micro_f1,12,0.46387744606343934,0.5152419423874747,0.05136449632403539,0.16877344332675198,-0.03661243084032191,0.148062293925329,9,0,3,0.322265625,0.966796875
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,heldout_presence_ap,12,0.5338931476766898,0.5833540353050181,0.049460887628328204,0.07661833097717226,0.010188280400134973,0.09373365333497893,8,0,4,0.05322265625,0.05322265625
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,heldout_presence_f1,12,0.46387744606343934,0.5152419423874747,0.05136449632403539,0.16877344332675198,-0.03661243084032191,0.148062293925329,9,0,3,0.322265625,0.966796875
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,heldout_sentiment_accuracy,12,0.8541649354177715,0.9123729534424259,0.05820801802465436,0.22768630183193192,-0.01678300216774613,0.19432267565182273,5,1,6,0.8408203125,1.0
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,oracle_pair_micro_f1,12,0.8877592529349547,0.885368802206246,-0.0023904507287086743,0.020275188577336276,-0.013612961160230511,0.008515521188092899,5,2,5,0.681640625,0.681640625
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,oracle_top_one_sentiment_accuracy,12,0.8864408772708697,0.8862130413855178,-0.00022783588535195873,0.01896075148195356,-0.010631972190936183,0.009988983500678218,3,5,4,0.96875,0.96875
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,overall_pair_micro_f1,12,0.5842151488793857,0.5868232769220748,0.0026081280426890896,0.008459017957372448,-0.001524506220272694,0.007612491090377747,8,0,4,0.349609375,0.69921875
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,seen_pair_micro_f1,12,0.5930520079890415,0.5931105159716853,5.850798264388687e-05,0.00014542083597945181,0.0,0.00015590924728633068,2,10,0,0.5,1.0
