protocol,level,condition,comparison,comparator_method,baseline_method,metric,fold_count,baseline_mean,comparator_mean,mean_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,improved_folds,tied_folds,worsened_folds,exact_sign_flip_p,holm_p_across_model_comparisons
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,oracle_top_one_sentiment_accuracy,12,0.8692764235756679,0.8862130413855178,0.016936617809849914,-0.03721860588155027,0.06883896563203859,5,2,5,0.5625,0.5625
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,overall_pair_micro_f1,12,0.4999478588097102,0.5868232769220748,0.08687541811236461,0.07244541542445293,0.10327299975191405,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,seen_pair_micro_f1,12,0.5227771752501785,0.5931105159716853,0.07033334072150683,0.05752616371092967,0.08459865450116855,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_pair_micro_f1,12,0.5048826238901596,0.47990323009308455,-0.024979393797074995,-0.11878480542434097,0.06900441815483264,6,0,6,0.62646484375,0.62646484375
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_aspect_micro_f1,12,0.5853555209195364,0.5152419423874747,-0.07011357853206153,-0.19724072348193616,0.04759292064915148,6,0,6,0.30419921875,0.30419921875
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_presence_ap,12,0.5058700113953779,0.5833540353050181,0.07748402390964013,-0.028232610709622734,0.1788133106590461,9,0,3,0.1875,0.1875
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_presence_f1,12,0.5853555209195364,0.5152419423874747,-0.07011357853206153,-0.19724072348193616,0.04759292064915148,6,0,6,0.30419921875,0.30419921875
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_sentiment_accuracy,12,0.867319400715481,0.9123729534424259,0.04505355272694492,0.013860075897761394,0.08357318740683707,11,0,1,0.0068359375,0.0205078125
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,oracle_pair_micro_f1,12,0.7656990685616244,0.885368802206246,0.11966973364462156,0.04681351489281752,0.20988547555209422,9,2,1,0.00390625,0.01171875
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,oracle_top_one_sentiment_accuracy,12,0.7683429531443623,0.8862130413855178,0.11787008824115534,0.04561864994624047,0.20727228864606462,9,2,1,0.005859375,0.017578125
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,overall_pair_micro_f1,12,0.5462452976198877,0.5868232769220748,0.04057797930218722,0.022825126315681628,0.05996219159732216,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,D,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,seen_pair_micro_f1,12,0.5432483512143501,0.5931105159716853,0.049862164757335216,0.02896231514462094,0.07170518919967549,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_pair_micro_f1,12,0.10572129662734925,0.5018514986496149,0.3961302020222657,0.29690300887884286,0.47498308691725266,11,0,1,0.0009765625,0.0029296875
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_aspect_micro_f1,12,0.12169712962292105,0.5617547266165214,0.4400575969936003,0.3274854876871214,0.5330347334804841,11,0,1,0.0009765625,0.0029296875
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_presence_ap,12,0.20986552327327815,0.5816516763748344,0.3717861531015563,0.28722410815653043,0.4616806672210758,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_presence_f1,12,0.12169712962292105,0.5617547266165214,0.4400575969936003,0.3274854876871214,0.5330347334804841,11,0,1,0.0009765625,0.0029296875
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_sentiment_accuracy,12,0.8847940279326149,0.8927396051395838,0.007945577206968849,-0.05002755409180291,0.0745282357241016,4,0,8,0.81201171875,1.0
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,oracle_pair_micro_f1,12,0.8760627221711338,0.8298639044931396,-0.04619881767799417,-0.09995732506786366,0.004344533671551883,3,0,9,0.119140625,0.23828125
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,oracle_top_one_sentiment_accuracy,12,0.8789245476738204,0.8324504157420155,-0.046474131931804996,-0.09617182551465632,0.0006540785093060737,3,0,9,0.091796875,0.216796875
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,overall_pair_micro_f1,12,0.4969184509672047,0.5455584669547168,0.04864001598751213,0.029279679675418203,0.06786836063837128,10,0,2,0.001953125,0.00390625
taxonomy_two_stage_formal_v2,L2,N,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,seen_pair_micro_f1,12,0.5227771752501785,0.5432483512143501,0.020471175964171612,0.00353849360771615,0.03773058156536823,10,0,2,0.04736328125,0.04736328125
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,heldout_pair_micro_f1,12,0.10572129662734925,0.4419644283937621,0.3362431317664128,0.19602062399058617,0.4644925720153526,11,0,1,0.00244140625,0.0048828125
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,heldout_aspect_micro_f1,12,0.12169712962292105,0.46387744606343934,0.34218031644051833,0.20062924227926252,0.47010377700563516,11,0,1,0.00244140625,0.0048828125
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,heldout_presence_ap,12,0.20986552327327815,0.5338931476766898,0.32402762440341165,0.20149415279556257,0.44351696382912814,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,heldout_presence_f1,12,0.12169712962292105,0.46387744606343934,0.34218031644051833,0.20062924227926252,0.47010377700563516,11,0,1,0.00244140625,0.0048828125
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,heldout_sentiment_accuracy,12,0.8847940279326149,0.8541649354177715,-0.030629092514843415,-0.2205446383805759,0.10110910908736973,7,0,5,0.89697265625,1.0
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,oracle_pair_micro_f1,12,0.8760627221711338,0.8877592529349547,0.011696530763820925,-0.032927085477076075,0.05775021319650049,5,0,7,0.64208984375,0.64208984375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,oracle_top_one_sentiment_accuracy,12,0.8789245476738204,0.8864408772708697,0.007516329597049352,-0.042505363674679456,0.05458093671629653,5,0,7,0.77880859375,0.77880859375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,overall_pair_micro_f1,12,0.4969184509672047,0.5842151488793857,0.08729669791218109,0.0764718132302949,0.09903398940195805,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_distilbert_review_candidate_cross_encoder,qwen_candidate_pair_qlora,distilbert_review_candidate_cross_encoder,seen_pair_micro_f1,12,0.5227771752501785,0.5930520079890415,0.07027483273886294,0.05740921266615191,0.08457060934165335,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_pair_micro_f1,12,0.5018514986496149,0.4419644283937621,-0.05988707025585283,-0.17374952998858667,0.04596590951181285,6,0,6,0.32568359375,0.32568359375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_aspect_micro_f1,12,0.5617547266165214,0.46387744606343934,-0.09787728055308198,-0.23251548616658427,0.025974703215246617,5,0,7,0.19580078125,0.19580078125
