protocol,method_id,level,condition,fold_count,heldout_pair_micro_f1_mean,heldout_pair_micro_f1_sd,heldout_aspect_micro_f1_mean,heldout_aspect_micro_f1_sd,heldout_presence_ap_mean,heldout_presence_ap_sd,heldout_presence_f1_mean,heldout_presence_f1_sd,heldout_sentiment_accuracy_mean,heldout_sentiment_accuracy_sd,oracle_pair_micro_f1_mean,oracle_pair_micro_f1_sd,oracle_top_one_sentiment_accuracy_mean,oracle_top_one_sentiment_accuracy_sd,overall_pair_micro_f1_mean,overall_pair_micro_f1_sd,seen_pair_micro_f1_mean,seen_pair_micro_f1_sd
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,L2,D,12,0.10542700174981318,0.0697471003151062,0.12692320956453373,0.08463248319364082,0.2380677009626545,0.1731685708131389,0.12692320956453373,0.08463248319364082,0.882461400606562,0.1572005546904554,0.8690231065706849,0.06148834139237479,0.8692764235756679,0.061784985390155756,0.4999478588097102,0.03406544607373584,0.5227771752501785,0.019655907487998434
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,L2,N,12,0.10572129662734925,0.0478915722074718,0.12169712962292105,0.05755521777220547,0.20986552327327815,0.15716773515244867,0.12169712962292105,0.05755521777220547,0.8847940279326149,0.10766748971865192,0.8760627221711338,0.0641022713176044,0.8789245476738204,0.06071395359997657,0.4969184509672047,0.03130045609144123,0.5227771752501785,0.019655907487998434
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,L4,D,3,0.17622930936150508,0.09406319774024748,0.21089576394740717,0.11608622558104999,,,0.25970220419306683,0.15909789747060166,0.8616639366639367,0.07516480224883332,,,,,0.49829176202813885,0.04196519041469217,,
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,L2,D,12,0.5048826238901596,0.13733691307122042,0.5853555209195364,0.1456803081050253,0.5058700113953779,0.17272384324304316,0.5853555209195364,0.1456803081050253,0.867319400715481,0.10982450134728805,0.7656990685616244,0.166581189228053,0.7683429531443623,0.1674591450111417,0.5462452976198877,0.03269451833928571,0.5432483512143501,0.03648395635045204
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,L2,N,12,0.5018514986496149,0.15947606516319077,0.5617547266165214,0.17512970869976152,0.5816516763748344,0.1696459862912011,0.5617547266165214,0.17512970869976152,0.8927396051395838,0.08598425282699251,0.8298639044931396,0.10447563704289245,0.8324504157420155,0.10432163540276232,0.5455584669547168,0.03335172032840001,0.5432483512143501,0.03648395635045204
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,L4,D,3,0.5614525886158757,0.04295327769505746,0.6130492764722313,0.031051378306936276,,,0.7378474962729107,0.05950562177103644,0.9151984947807862,0.02723278355759665,,,,,0.5417445442048952,0.023263134897264025,,
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,L2,D,12,0.47990323009308455,0.20707003123170123,0.5152419423874747,0.19775984654509712,0.5833540353050181,0.19516058537604225,0.5152419423874747,0.19775984654509712,0.9123729534424259,0.10473243437734119,0.885368802206246,0.0843151279785048,0.8862130413855178,0.08462312360981732,0.5868232769220748,0.014261880601722114,0.5931105159716853,0.012225858471329083
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,L2,N,12,0.4419644283937621,0.25124116613962694,0.46387744606343934,0.2573639647630927,0.5338931476766898,0.23327139728322996,0.46387744606343934,0.2573639647630927,0.8541649354177715,0.28294492312790936,0.8877592529349547,0.07828023080956689,0.8864408772708697,0.0869948392686105,0.5842151488793857,0.018446640311943457,0.5930520079890415,0.012316987750324554
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,L4,D,3,0.5151894232828776,0.08079123543134978,0.5480451938952063,0.07656921913228736,,,0.7264886555741906,0.0881031867815354,0.9396890168459122,0.03408882176508417,,,,,0.5893306483825097,0.010418079911052001,,
