protocol,method_id,condition,fold_count,stage_1_presence_ap_mean,stage_1_presence_f1_mean,stage_2_oracle_pair_micro_f1_mean,stage_2_oracle_top_one_accuracy_mean,end_to_end_heldout_pair_micro_f1_mean,end_to_end_overall_pair_micro_f1_mean
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,D,12,0.2380677009626545,0.12692320956453373,0.8690231065706849,0.8692764235756679,0.10542700174981318,0.4999478588097102
taxonomy_two_stage_formal_v2,distilbert_review_candidate_cross_encoder,N,12,0.20986552327327815,0.12169712962292105,0.8760627221711338,0.8789245476738204,0.10572129662734925,0.4969184509672047
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,D,12,0.5058700113953779,0.5853555209195364,0.7656990685616244,0.7683429531443623,0.5048826238901596,0.5462452976198877
taxonomy_two_stage_formal_v2,frozen_qwen_few_shot,N,12,0.5816516763748344,0.5617547266165214,0.8298639044931396,0.8324504157420155,0.5018514986496149,0.5455584669547168
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,D,12,0.5833540353050181,0.5152419423874747,0.885368802206246,0.8862130413855178,0.47990323009308455,0.5868232769220748
taxonomy_two_stage_formal_v2,qwen_candidate_pair_qlora,N,12,0.5338931476766898,0.46387744606343934,0.8877592529349547,0.8864408772708697,0.4419644283937621,0.5842151488793857
