stage,scenario,folds,pair_micro_f1_mean,pair_samples_f1_mean,pair_micro_precision_mean,pair_micro_recall_mean,presence_precision_mean,presence_recall_mean,presence_f1_mean,pair_false_positive_rows_per_100_mean,pair_false_negative_rows_per_100_mean,qwen_call_rate_mean,rescue_fraction,confirm_fraction
validation,validation_selected_local_only,12,0.42522051734632166,0.0955534531693472,0.4425107358280548,0.5380866443040765,0.48130969407755625,0.5849941363437404,0.4625504231087538,17.013560391043836,4.351939451277199,0.0,0.0,0.0
test,strict_local_only,12,0.38564006469164386,0.09390534201498284,0.41556884819069595,0.5042206701474069,0.44502501026442287,0.5472935249331055,0.4171748408002815,17.61709724847721,4.44234404536862,0.0,,
test,frozen_qwen_only,12,0.3378035832522078,0.07973464958342084,0.24400257449555027,0.6518509339228528,0.3731228380772504,0.680796292154791,0.4515646975072331,14.287964713295526,4.584120982986768,1.0,,
test,selected_router,12,0.38564006469164386,0.09390534201498284,0.41556884819069595,0.5042206701474069,0.44502501026442287,0.5472935249331055,0.4171748408002815,17.61709724847721,4.44234404536862,0.0,0.0,0.0
