system,split,aspects,presence_precision_mean,presence_recall_mean,presence_f1_mean,presence_prevalence_mean,presence_false_positive_rows_per_100_mean,presence_false_negative_rows_per_100_mean,pair_micro_f1_mean,legacy_aspect_micro_f1_mean,max_abs_frozen_pair_metric_delta
DistilBERT,test,12,0.36973029053856105,0.4234590026299057,0.33896107328624553,0.14655534551564797,10.44423440453686,8.958202058391096,0.31584787136848674,0.8059756353707205,9.80118763926896e-17
DistilBERT,validation,12,0.41655920621509374,0.46612139954149995,0.38382548800647703,0.14553768527278463,9.618416903185114,8.506780195521918,0.361983977589791,0.8187480290129296,9.71445146547012e-17
Qwen,test,12,0.24894959303853534,0.878826372918883,0.3550705723408503,0.14655534551564797,34.415038857382896,1.91136315900021,0.33778765386916154,0.6367359798361689,0.0
Qwen,validation,12,0.24127172263746322,0.8573633421791652,0.345109863996792,0.14553768527278463,34.744560075685904,2.06559444970041,0.32929671754649653,0.6318984547461369,0.0
TF-IDF,test,12,0.4292267249698189,0.5552664681060375,0.4300485858045491,0.14655534551564797,17.475320310859065,4.426591052299937,0.3780374894859886,0.7809808863684101,8.326672684688674e-17
TF-IDF,validation,12,0.46675584524047603,0.5819377411869145,0.4683689974870975,0.14553768527278463,16.989908546199935,4.3992431409649955,0.39877413407674395,0.7861084831283507,9.540979117872439e-17
